mCarName,mTrackLocation,mTrackVariation,mCurrentLap,mWorldPosition[0],mWorldPosition[1],mWorldPosition[2],mLocalAcceleration[0],mLocalAcceleration[1],mLocalAcceleration[2],mSteering,mBrake,mThrottle,mTyreRPS[0],mTyreRPS[1],mTyreRPS[2],mTyreRPS[3],mWorldVelocity[0],mWorldVelocity[1],mWorldVelocity[2],mOrientation[0],mOrientation[1],mOrientation[2],mSpeed,mCurrentTime,mAngularVelocity[0],mAngularVelocity[1],mAngularVelocity[2]
Toyota GT-86,Laguna_Seca,,1,-266.367,223.254,266.341,0.0819824,0.510257,-1.55678,0.000192117,0,1,-116.871,-116.872,-118.281,-118.256,-21.382,1.32836,-29.243,0.0410056,0.631264,-0.000119952,36.2571,8.13501,-0.0157557,2.54013e-05,0.00801587
Toyota GT-86,Laguna_Seca,,1,-268.474,223.387,263.459,0.993294,1.18138,-1.44325,-0.0159271,0,1,-117.218,-117.463,-118.82,-118.8,-21.4533,1.38695,-29.3748,0.041708,0.631153,-6.51014e-06,36.406,8.23099,-0.0242739,0.0105896,-0.0323148
Toyota GT-86,Laguna_Seca,,1,-271.397,223.587,259.418,1.57783,1.26458,-1.4103,0.00050728,0,1,-117.827,-118.143,-119.215,-119.563,-21.3262,1.54547,-29.7016,0.0471709,0.619941,0.00852918,36.6023,8.366,-0.0219778,0.110488,0.0436522
Toyota GT-86,Laguna_Seca,,1,-273.921,223.778,255.888,1.61947,0.475133,-1.44733,0.00229165,0,1,-118.467,-118.615,-119.955,-119.983,-21.2629,1.66085,-29.9531,0.0497691,0.612607,0.00344343,36.7743,8.48401,-0.00143329,0.0286351,0.00292711
Toyota GT-86,Laguna_Seca,,1,-276.4,223.972,252.382,0.750205,-0.661923,-1.39007,0.00222228,0,1,-119.055,-119.063,-120.689,-120.562,-21.2468,1.64255,-30.1684,0.0469109,0.611424,0.00188279,36.944,8.60101,0.0395049,-0.00123084,0.0219691
Toyota GT-86,Laguna_Seca,,1,-278.634,224.142,249.206,0.171613,0.238399,-1.46879,0.00124871,0,1,-119.579,-119.559,-121.209,-121.138,-21.3011,1.60724,-30.3232,0.0451065,0.611968,-0.00104221,37.0981,8.70599,-0.0125437,-0.00666801,0.0295375
Toyota GT-86,Laguna_Seca,,1,-280.556,224.288,246.47,0.0118168,0.778069,-1.45302,-0.000571529,0,1,-120.049,-120.027,-121.473,-121.446,-21.3746,1.66293,-30.4356,0.0490396,0.612512,-0.00211538,37.2334,8.79901,-0.0528486,-0.00383671,-0.00525904
Toyota GT-86,Laguna_Seca,,1,-283.411,224.518,242.397,1.87228,1.0524,-1.37641,-0.0262736,0,1,-120.461,-120.773,-121.969,-122.051,-21.4198,1.80172,-30.6264,0.0545317,0.611212,0.00204162,37.4204,8.936,-0.029639,0.0505978,-0.0883783
Toyota GT-86,Laguna_Seca,,1,-285.157,224.668,239.888,0.938663,1.10622,-1.33104,0.000528088,0,1,-120.787,-121.169,-122.332,-122.571,-21.3623,1.87468,-30.7995,0.0549017,0.604304,0.00604922,37.5309,9.01901,0.00459522,0.0779265,0.0327018
Toyota GT-86,Laguna_Seca,,1,-287.472,224.877,236.541,1.25772,0.763939,-1.34991,0.00170262,0,1,-121.4,-121.52,-122.885,-122.907,-21.3337,1.98745,-30.9875,0.0569303,0.599243,0.00280434,37.6792,9.116,-0.0168414,0.0237973,0.000241658
Toyota GT-86,Laguna_Seca,,1,-289.854,225.104,233.07,0.98734,0.540616,-1.48405,-0.00267034,0,1,-121.904,-121.972,-123.48,-123.394,-21.3181,2.06905,-31.1728,0.0584248,0.598113,0.00203655,37.8276,9.23099,-0.0263066,0.00601016,0.00992913
Toyota GT-86,Laguna_Seca,,1,-291.986,225.314,229.943,1.01221,0.425992,-1.28023,-0.00568791,0,1,-122.301,-122.422,-123.852,-123.882,-21.3038,2.11852,-31.3424,0.0595633,0.596302,0.00205541,37.9589,9.33099,-0.00193314,0.031869,-0.00433094
Toyota GT-86,Laguna_Seca,,1,-294.439,225.56,226.329,0.525968,0.428093,-1.29274,0.000910231,0,1,-122.822,-122.882,-124.363,-124.35,-21.3294,2.17321,-31.5015,0.0609012,0.593682,0.000186158,38.1092,9.45001,-0.0165514,0.0110089,0.00858606
Toyota GT-86,Laguna_Seca,,1,-296.645,225.788,223.066,0.764849,0.570423,-1.32155,-0.00920106,0,1,-123.184,-123.395,-124.792,-124.743,-21.3587,2.23762,-31.639,0.0629583,0.593144,0.000245773,38.2429,9.561,-0.0235394,0.00507293,-0.016429
Toyota GT-86,Laguna_Seca,,1,-299.931,226.142,218.128,4.82309,0.706526,-1.10883,-0.0396789,0,1,-123.346,-124.166,-125.223,-125.695,-21.0073,2.33646,-32.074,0.0647494,0.576169,0.0172834,38.4159,9.70001,-0.00922016,0.219117,-0.0775573
Toyota GT-86,Laguna_Seca,,1,-302.572,226.445,214.041,4.07663,1.02326,-1.23067,0.00492258,0,1,-123.962,-124.564,-125.919,-126.121,-20.6289,2.44948,-32.4735,0.0673554,0.552697,0.0114174,38.5527,9.83099,-0.0269479,0.11998,0.0453472
Toyota GT-86,Laguna_Seca,,1,-304.623,226.695,210.777,3.29297,0.75335,-1.19341,0.00615504,0,1,-124.559,-124.736,-126.348,-126.2,-20.363,2.54677,-32.7722,0.070096,0.545703,0.00962703,38.6707,9.931,-0.0200831,0.0293413,0.0143242
Toyota GT-86,Laguna_Seca,,1,-306.618,226.948,207.543,2.0362,0.00634794,-1.20856,0.00110033,0,1,-125.018,-125.007,-126.645,-126.495,-20.1983,2.58567,-33.0056,0.0707352,0.5446,0.00682585,38.7857,10.031,0.0132244,0.00749643,0.0398945
Toyota GT-86,Laguna_Seca,,1,-308.704,227.213,204.126,0.415865,-1.37301,-1.12722,0.00314616,0,1,-125.42,-125.388,-127.123,-126.983,-20.1772,2.52215,-33.1661,0.0674245,0.544945,0.00166265,38.9053,10.131,0.0546587,-0.0119286,0.0353041
Toyota GT-86,Laguna_Seca,,1,-311.397,227.536,199.696,0.0699957,-2.2907,-1.311,-0.00330791,0,1,-125.906,-125.9,-127.817,-127.711,-20.2554,2.30078,-33.3159,0.0597656,0.546771,0.000810879,39.0612,10.266,0.041183,-0.00947668,-0.0143725
Toyota GT-86,Laguna_Seca,,1,-313.418,227.757,196.356,3.05478,-1.35984,-1.1819,-0.0506594,0,1,-125.904,-126.552,-128.2,-128.156,-20.2016,2.13448,-33.502,0.0558852,0.543874,0.00798679,39.1828,10.37,0.0191506,0.0942007,-0.149316
Toyota GT-86,Laguna_Seca,,1,-315.394,227.963,193.048,2.42254,-0.421908,-1.29652,-0.0012777,0,1,-126.416,-126.933,-128.338,-128.578,-20.0122,2.06135,-33.7581,0.0561293,0.529184,0.013968,39.303,10.466,-0.00986975,0.14579,0.0521247
Toyota GT-86,Laguna_Seca,,1,-318.019,228.232,188.583,2.36293,-0.84324,-1.31004,0.00439768,0,1,-127.117,-127.3,-128.86,-128.786,-19.8091,2.01811,-34.0755,0.0567946,0.518602,0.00894498,39.4698,10.604,0.0445146,0.0305864,-0.0132152
Toyota GT-86,Laguna_Seca,,1,-319.993,228.43,185.168,1.63345,-0.829674,-1.25578,-0.00180033,0,1,-127.543,-127.62,-129.452,-129.233,-19.7068,1.92765,-34.2764,0.0513492,0.517635,0.00711981,39.5888,10.7,0.0383161,-0.000526368,0.0337528
Toyota GT-86,Laguna_Seca,,1,-321.955,228.616,181.731,3.36092,-1.46527,-1.13815,-0.0410843,0,1,-127.649,-128.159,-129.88,-129.779,-19.5514,1.78507,-34.5116,0.0461839,0.514216,0.0101915,39.7079,10.8,0.0469608,0.0896607,-0.0876529
Toyota GT-86,Laguna_Seca,,1,-323.896,228.79,178.265,3.58235,-0.896376,-1.23366,-0.0156352,0,1,-128.005,-128.641,-130.182,-130.318,-19.28,1.68286,-34.8015,0.0442722,0.499622,0.0154861,39.8238,10.9,0.00896208,0.169567,0.00788705
Toyota GT-86,Laguna_Seca,,1,-326.103,228.979,174.248,3.16065,-0.485169,-1.34339,0.00526609,0,1,-128.646,-129.004,-130.617,-130.594,-19.0294,1.62438,-35.107,0.0448794,0.485811,0.00967596,39.967,11.016,-0.0100198,0.0657839,0.00477118
Toyota GT-86,Laguna_Seca,,1,-328.374,229.172,170.018,1.95432,-0.202806,-1.28444,0.00561357,0,1,-129.291,-129.31,-131.023,-130.81,-18.8288,1.60071,-35.383,0.044414,0.482724,0.00850478,40.1193,11.135,0.00771065,-0.00231897,0.0430439
